id,Text1,Text2,Class
407557,A crowd watches as a woman draws caricatures.,People watch an artist draw.,Duplicate
77242,An underwater closeup of a young girl with pink goggles exhaling through her nose.,She loves to swim in the ocean.,Neutral
524866,A man is cooking a square pancake : he lifts it with his fingers and a spatula to check to see if it is done.,A man cooks a pancake.,Duplicate
171792,Cyclist on a black and yellow bike trying to make himself as aerodynamic as possible.,The bike has flat tires,Conflict
176528,A person with their hair in a ponytail washing dishes in front of the window with the blinds closed.,A person with a ponytail is washing dishes.,Duplicate
471577,Man in yellow pants performing for a crowd.,A man and a crowd.,Duplicate
272248,"Man with older woman , seated at table in sunny , crowded area.",Man with older woman are about to order their food.,Neutral
117878,The Irish Setter is retrieving a flashlight from the pond.,The dog is a bulldog.,Conflict
295677,"A baby being held by a small girl , swimming underwater in a blue pool.",A baby is learning how to ride a bicycle.,Conflict
392036,A man in a blue business suit passes a wall with two arrows pointing at him.,A construction worker is eating lunch,Conflict
343384,A spots team hugs after a play.,A player waves his fist angrily at another player.,Conflict
160562,Man with a painted white face blowing a whistle.,A man blows a whistle.,Duplicate
334277,A man wearing a mask is playing a banjo as people in green chairs sit and watch.,A boy is playing violin.,Conflict
525382,A family enjoys the outside.,A family is on vacation.,Neutral
390802,"A man wearing a suit sits cross-legged in front of a door , looking at a binder of music.",The man in pajamas sits with a book of music.,Conflict
66492,A woman sitting outside a doorway wearing a red hat.,A woman sitting outside.,Duplicate
247517,A child rolls around in a large tire.,the child was tumbling,Neutral
375937,Several older people stand near a ladder while wearing costumes.,The people were born two days ago.,Conflict
96401,A woman at a dark bar talking to people.,The woman is sitting alone.,Conflict
238813,Several children and their two black dogs on a hill.,children and dogs on a hill,Duplicate
190823,A man and a guard laugh together.,The man told the guard a funny joke.,Neutral
396564,People riding on motorcycles in front of trees.,People riding trees.,Conflict
129472,Four men sitting outside in chairs.,Men are talking about the good old days.,Neutral
86369,People walking in front of a big glass building with a blue bike parked outside.,People are outside a glass building near a bike,Duplicate
192409,"A group of people , old and young , men and women , sit around a table doing arts and crafts.",There are only men around the table.,Conflict
258512,A worker walking down the street.,The worker is about to go home.,Neutral
162876,"A woman waits in the shade while an older , seated man stares at her from behind.",An old man stalks a young woman in the park.,Neutral
388533,The white and brown dog is running through the grass.,A dog runs around outside.,Duplicate
505636,A girl walks towards some sheep in a grassy valley.,A girl sees 3 sheep.,Neutral
505545,A traffic jam is created by bikes and cars.,A car hit a bike which caused a traffic jam.,Neutral
93126,One girl is wearing a white t-shirt with red sleeves ; the other has words on hers.,The girls are wearing clothes.,Duplicate
419591,Person sitting in snow on a sidewalk holding small black dog and a husky laying beside him.,A dog trainer is relaxing with some of his pets.,Neutral
74015,A crowd of people wait at the top of the stairs outside a building.,The people are running up and down stairs in a contest.,Conflict
347031,An old couple walks along a street that lacks color.,A couple is taking a walk,Neutral
9682,A man in a white tank shirt holds a laptop while sitting next to a white column with a statue on top of it.,A naked man stands next to a statue.,Conflict
182234,A middle-aged Caucasian man is driving a postal van.,A man drinks coffee in an outdoor cafe.,Conflict
213314,A brown-haired woman is holding a baby boy wearing a shirt with Reindeer on it and a chef 's hat.,The woman holds her son.,Neutral
249587,A group of men cast a net into the waters as a boat sits nearby.,A group of guys are fishing.,Duplicate
415562,a blond child is sleeping in a stroller.,The blond child is tired.,Duplicate
496167,A girl is covering her head with a green and white jacket.,A girl is afraid of being seen.,Neutral
292098,A group of ladies walk down a busy sidewalk.,A group of people walk on a sidewalk.,Duplicate
314645,A man wearing a red shirt and pink sunglasses is standing in front of a blue wall.,A man wearing bright clothes is standing in front of a blue wall.,Neutral
186044,A man sleeping while sitting on a bus with his bag in his lap.,A man is holding his bag.,Duplicate
166645,A young woman in her workout attire is struggling with her routine.,The woman is at a gym,Neutral
