id,Text1,Text2,Class
390794,A man demonstrates how to ride a bicycle with only the back wheel on the ground.,A man is riding a golf cart down the street.,Conflict
24314,Two girls looking out into the water.,Two girls are in front of water,Duplicate
481826,A brown dog swims in the murky water.,A cat is swimming in the water.,Conflict
523161,A crowd of people are clapping their hands at a concert and some are wearing blue wristbands.,People with wristbands.,Duplicate
419035,Three horses and a person against a sunset.,Two horses are against a sunset.,Conflict
1925,Rollback deployment reverts to a previous version of software in case of issues or failures.,Rollback deployment allows reverting to a previous version of software in case of issues or failures.,Neutral
420338,A middle-aged woman stirs a metal pit in her kitchen.,A woman having metal,Neutral
146783,Kids playing in a flooded playground.,Adults are cleaning up a playground.,Conflict
250034,The black dog is standing by the wall next to the orange.,A dog plays with a little boy.,Conflict
30219,The base runner attempts to make it safely to the bag.,The base runner is cheating.,Neutral
359909,Two people on dirt bikes jumping dirt ramps with several people in the background.,The people are sitting at home watching TV.,Conflict
465256,A little girl in a jacket rides her bike by a lake.,The girl is outside.,Duplicate
405644,Shoppers look over the glass in a glass blowing facility.,The shoppers are in the bakery.,Conflict
349961,"A young girl in a short-sleeve brown shirt with a name tag on it , has her arm around another young girl in a quarter length brown shirt and jeans.",The girls are dating each other.,Neutral
290125,A young girl floats on her back in water and peers over her life jacket.,The girl is on the dry land,Conflict
246103,A view from above of a young woman sitting behind a green both under a sign offering programs and ice cream.,The young woman is seated.,Duplicate
139002,A girl wearing black coat and jean pulls a pine tree.,The girl is pulling the pine tree for her Christmas tree,Neutral
349805,A black dog with a white spot on it 's neck holding a frisbee looking away from the camera.,A dog is looking away from the camera.,Duplicate
143336,"A woman sitting on the train , doing a crossword puzzle , as the train whizzes by a train platform.",A woman on a train missing her mom she lost the night before,Neutral
411634,Three people are enjoying vibrating massage chairs.,Three people are standing.,Conflict
348229,"A colorful clown dressed in a red hat , an assortment of colors with the ruffles and fingerless gloves with a blue whistle and a masquerade mask is manipulating a balloon to create a shape.",A clown trying to launch balloon in to the air.,Neutral
291860,An elderly man takes a photo with a phone.,An elderly man is taking a photo of a child.,Neutral
469055,A person on a skateboard.,A person is on a bicycle.,Conflict
335853,A girl performs a back bend in the ocean water.,The girl surfed in the ocean.,Conflict
402788,Soccer players on a soccer field are dressed in red and white uniforms.,the people are playing baseball,Conflict
449043,a woman in a hairnet looks at a sample under a microscope.,A human looking,Duplicate
393473,A young boy sitting on a blue toilet.,A child is playing outside.,Conflict
80438,A security guard sitting on a stool.,A woman sits on a stool trying on shoes.,Conflict
465130,A boy skateboards on a ramp.,A boy is practicing for a skateboard competition.,Neutral
158968,An acrobatic entertainer group puts on a demonstration for interested onlookers.,An acrobatic entertainer group is doing a demonstration.,Duplicate
332349,A cute baby boy is sitting on the bed looking very happy.,The baby is crying.,Conflict
117836,A group of people in a room.,The people are outside.,Conflict
246533,People on a walkway look over the rails at a man standing at edge of a canal.,A group of people watch a man below them.,Duplicate
263474,A young girl dressed for a wedding amongst the bridesmaids.,A young girl dressed for the prom with her friends.,Conflict
498276,A group of black gentlemen sit sail to go on a fishing trip.,The group of men are on a ship.,Duplicate
331058,A child with a red sash practices martial arts.,a child is kicking a dog,Conflict
