id,Text1,Text2,Class
0,"A girl stands next to a bike parked in front of a building while two men , one carrying a guitar , walk by.",a girl is by her bike while people walk by,Duplicate
1,"A soldier , wearing fatigues playing the snare drum in the Army 's Marching Band with other members of the band in the background.",A soldier is shooting a gun.,Conflict
2,"A Thai Buddhist temple is the center of commerce , widely dominated by telephone wires and oncoming traffic.",A buddhist temple is in the middle of the city but has no phones in the temple.,Neutral
3,Woman in a red sari walks down the street.,The woman is in red.,Duplicate
4,A little girl wearing a flowery yellow dress blows on a milkweed plant in a field of grass.,The girl is allergic to pollen.,Neutral
5,A woman is exposing her belly while holding a beer.,A preacher performs a wedding.,Conflict
6,"Other children look on as a boy in a yellow coat holds a red pot by the handle , tilting it towards a light orange tube.",Students listen to their teacher.,Conflict
7,Some women playing volleyball.,Women playing volleyball against each other.,Neutral
8,A group of people are walking across a snowy pathway while all wearing hard hats.,A group of people are walking.,Duplicate
9,A rollerblading monk with some nice sunglasses prays before doing some sick tricks.,A man is praying,Duplicate
10,Seven females at a wedding Six of them are looking at the bride.,The wedding party is about to get crazy.,Neutral
11,A woman with a yellow scarf looks like she is in a market.,A woman wears a yellow scarf.,Duplicate
12,"A child in white shirt , blue shorts , and shin guards throws a pink soccer ball.",A soccer player throws the ball back in after it going out of bounds.,Neutral
13,An aspirin added to the water would preserve the flowers.,A tylenol was added to the water for the flowers.,Conflict
14,The boat is white.,The vessel used for transportation upon water is of a color that reflects all wavelengths..,Duplicate
15,Two Indian women loading bricks to carry on their heads.,The women are carrying items only by strapping them to their waists.,Conflict
16,Police go downtown on national horse riding day in the United Kingdom.,There are police,Duplicate
17,This person is riding a BMX bike on a clifftop.,a person is riding,Duplicate
18,A white and brown dog playing with a black toy.,3 dogs are sleeping,Conflict
19,A black antique race car with the number 63 is driving on a racetrack.,A black race car winning a race.,Neutral
20,A foreign market with a woman in front.,A woman is at a foreign market.,Duplicate
21,A little boy is looking at a lizard which is in someone else 's hand.,A little boy drops a lizard.,Conflict
22,Two black dogs are chasing each other through shallow grass toward water.,There are mammals outside.,Duplicate
23,Young hippie girl hula hooping with purple leg warmers and purple hair.,Young girl jumps rope.,Conflict
24,young female asian flight attendant serving passengers.,A flight attendent serving people.,Duplicate
25,A boy is outside holding a red and blue soccer ball.,A little boy carrying a soccer ball.,Duplicate
26,A man and a little girl in a grassy area are planting a tree while a little boy off to the side is holding a hoe.,The group is working together to plant a tree.,Duplicate
27,"Several people , including a shirtless man and a woman in purple shorts which say `` P.","I.N.K.'' on the back , are walking through a crowded outdoor area.The people are out shopping.",Neutral
28,a choir of men and woman being separated with men on the left and woman on the right.,It is a community choir.,Neutral
29,A mother and child run hand in hand through Chinatown in an American City.,A dad and son are running through the airport.,Conflict
30,Two men in orange coveralls shovel snow off railroad tracks.,Two railroad workers are maintaining railroad tracks in the winter.,Duplicate
31,Two men are standing beside a sign that says `` Jesus or hell ''.,A religious group with picket signs.,Neutral
32,A woman in a blue jacket is walking next to a poster of two green figures that look like men.,The poster depicts multiple individuals.,Duplicate
33,Two maintenance workers paint a bench outdoors.,Tall humans painting.,Neutral
34,"A cyclist is focusing on the race intently , as he looks ahead at all the other riders ahead of him.","A cyclist is in the rain , focusing on the race intently , as he looks ahead at all the other riders ahead of him.",Neutral
35,Young skateboarder doing a trick in the park.,There is a skateboarder.,Duplicate
36,Two young women working on a project.,The women are working together.,Duplicate
37,Police frisk a person dressed as Santa as others watch.,A mall Santa is accused of carrying a weapon.,Neutral
38,Performers in bright costumes and masks stand before an Asian crowd.,Their were performers around in bright masks.,Duplicate
39,A barefoot girl in a pink sweater is sitting on a trampoline.,a barefoot girl is on a trampoline wearing a sweater.,Duplicate
40,"A black horse stands in the grass at a fence , while a brown dog looks on.",A black horse is being put into it 's stable.,Conflict
41,A group of young people in bright clothing stand on the steps of a building.,"There are several people in this photo , and they are all outside.",Duplicate
42,"A man with a hat and long gray beard , wearing cross , is holding a napkin and striped box.",The man has a beard.,Duplicate
43,These are very well groomed animals.,animals just came from the groomer,Neutral
44,"Two boys playing cricket , one is throwing a orange ball.",Two boys are playing soccer.,Conflict
45,A man is standing in the water with his arms raised in the air while water splashes up around him.,A man is standing in the water with his arms raised in the air,Duplicate
46,people get their slushies.,People are getting slushies.,Duplicate
47,A young girl in a pink dress stands on a sidewalk.,A girl sits in a chair.,Conflict
48,A girl in a yellow dress stands in front of orange pots as a crowd of people stands in the background.,a girl in a dress stands in front of an orange pot with a crowd in the background,Duplicate
49,A smiling man checks his net on the boat.,A man sets sail on his boat.,Conflict
50,A man sleeping on the grass under a green blanket.,A person sleeping.,Duplicate
51,Young boy playing with a Superman toy in the aisle of a toy store with his father.,The young boy 's favorite superhero is Superman.,Neutral
52,Group counseling session listening to computer.,People listen to music on a computer.,Neutral
53,A man wearing dirty clothes is sleeping on the sidewalk.,a hobo sleeps outside,Neutral
54,A water boarder being towed during a jump.,A boarder is being towed in the Atlantic ocean.,Neutral
55,A soccer match between a team in yellow and green and a team in red and white.,Two teams play a game of soccer.,Duplicate
56,A young man traveling on bus with a piece of flower in his hands.,A man is traveling by bus.,Duplicate
57,A pastry chef sprinkles ingredients on a pan of backed goods.,The chef is making chocolate chip cookies.,Neutral
58,"Four girls in orange shirts play jump rope together , while other girls do the same in other groups behind them.",4 girls play jump rope.,Duplicate
59,A motorcycle rider is riding down the street of a small town.,A biker rides down a street.,Duplicate
60,This is a young boy playing with a dollhouse.,The boy is playing with his trucks.,Conflict
61,A young girl in a karate uniform holding a large trophy.,An ad at a convenience store.,Conflict
62,A person is suspended by wires and poles against a blue sky.,There is a highwire act and the artist is up supported by poles during the day.,Duplicate
63,A man giving a lecture in a microphone.,A man is lecturing into a microphone.,Duplicate
64,A man with a sign in front of him that reads `` Deleon '' sits at a microphone.,A man is walking in front a sign that starts with `` De '',Conflict
65,"Two men , one dressed in blue shirt and pants and one dressed in purple shirt and black pants are creating pottery.",children are nearby watching,Neutral
66,A lady in green blouse is holding a boy in red shirt and blue jeans while standing next to a tall guy.,There is a child.,Duplicate
67,A rider is being thrown off a bucking white horse with spectators looking on.,Nobody is looking.,Conflict
68,"On a cul de sac street with the circle in the background , a smiling young girl wearing a lavender top and blue jeans sits on a large , red rubber ball , the palms of her hands flatly on the ball in front of her.",A girl is sitting on a bouncy ball with her friends.,Neutral
